Island,FieldPeriodID,Status,BirdID,CountOfBreedGroupID
CN,19,NSA,455,1
CN,19,NSA,792,1
CN,21,NSA,542,1
CN,21,NSA,558,1
CN,21,NSA,848,1
CN,22,NSA,558,1
CN,22,NSA,1026,1
CN,22,NSA,1859,1
CN,23,NSA,679,1
CN,23,NSA,1130,1
CN,23,NSA,1859,1
CN,25,NSA,1859,1
CN,26,NSA,329,1
CN,26,NSA,442,1
CN,26,NSA,938,1
CN,26,NSA,1227,1
CN,26,NSA,1278,1
CN,26,NSA,1362,1
CN,26,NSA,1371,1
CN,26,NSA,1388,1
CN,26,NSA,1390,1
CN,26,NSA,1408,1
CN,26,NSA,1859,1
CN,27,NSA,329,1
CN,27,NSA,848,1
CN,27,NSA,1278,1
CN,27,NSA,1370,1
CN,27,NSA,1383,1
CN,27,NSA,1401,1
CN,27,NSA,1404,1
CN,27,NSA,1859,1
CN,28,NSA,848,1
CN,28,NSA,1278,1
CN,28,NSA,1368,1
CN,28,NSA,1859,1
CN,31,NSA,1271,1
CN,31,NSA,1492,1
CN,31,NSA,1677,1
CN,31,NSA,1707,1
CN,31,NSA,1708,1
CN,31,NSA,1710,1
CN,31,NSA,1716,1
CN,31,NSA,1777,1
CN,31,NSA,1804,1
CN,32,NSA,1388,1
CN,32,NSA,1677,1
CN,32,NSA,1721,1
CN,32,NSA,1769,1
CN,32,NSA,1780,1
CN,35,NSA,1272,1
CN,35,NSA,1712,1
CN,35,NSA,1762,1
CN,35,NSA,1780,1
CN,35,NSA,1798,1
CN,35,NSA,2982,1
CN,35,NSA,2988,1
CN,35,NSA,2991,1
CN,37,NSA,3089,1
CN,39,NSA,472,1
CN,39,NSA,930,1
CN,39,NSA,1368,1
CN,39,NSA,1485,1
CN,39,NSA,1488,1
CN,39,NSA,1491,1
CN,39,NSA,1494,1
CN,39,NSA,1524,1
CN,39,NSA,1564,1
CN,40,NSA,453,1
CN,40,NSA,472,1
CN,40,NSA,869,1
CN,40,NSA,1271,1
CN,40,NSA,1272,1
CN,40,NSA,1368,1
CN,40,NSA,1541,1
CN,40,NSA,1579,1
CN,40,NSA,1590,1
CN,40,NSA,1597,1
CN,41,NSA,453,1
CN,41,NSA,869,1
CN,41,NSA,1541,1
CN,54,NSA,1762,1
CN,54,NSA,3614,1
CN,77,NSA,1804,1
CN,77,NSA,3449,1
CN,77,NSA,3516,1
CN,77,NSA,4860,1
CN,77,NSA,4879,1
CN,77,NSA,4882,1
CN,77,NSA,4886,1
CN,77,NSA,4934,1
CN,82,NSA,4860,1
CN,85,NSA,1857,1
CN,85,NSA,2976,1
CN,85,NSA,4805,1
CN,85,NSA,4883,1
CN,85,NSA,5009,1
CN,87,NSA,2976,1
CN,87,NSA,4961,1
CN,87,NSA,5009,1
CN,87,NSA,5167,1
CN,87,NSA,5170,1
CN,90,NSA,1669,1
CN,90,NSA,5009,1
CN,92,NSA,5080,1
CN,92,NSA,5213,1
CN,103,NSA,1669,1
CN,103,NSA,1685,1
CN,103,NSA,1852,1
CN,103,NSA,3086,1
CN,103,NSA,3596,1
CN,103,NSA,5145,1
CN,103,NSA,5242,1
CN,103,NSA,5284,1
CN,103,NSA,5313,1
CN,103,NSA,5339,1
CN,103,NSA,5452,1
CN,103,NSA,5455,1
CN,103,NSA,5462,1
CN,112,NSA,3595,1
CN,112,NSA,5118,1
CN,112,NSA,5242,1
CN,112,NSA,5594,1
CN,112,NSA,5611,1
CN,112,NSA,5640,1
CN,112,NSA,5644,1
CN,112,NSA,5653,1
CN,112,NSA,5658,1
CN,118,NSA,1669,1
CN,118,NSA,5118,1
CN,118,NSA,5217,1
CN,118,NSA,5282,1
CN,118,NSA,5319,1
CN,118,NSA,5584,1
CN,118,NSA,5596,1
CN,118,NSA,5598,1
CN,118,NSA,5607,1
CN,118,NSA,5652,1
CN,118,NSA,5823,1
CN,118,NSA,5826,1
CN,122,NSA,5584,1
CN,122,NSA,5596,1
CN,122,NSA,5908,1
CN,124,NSA,1877,1
CN,124,NSA,3596,1
CN,124,NSA,5465,1
CN,124,NSA,5525,1
CN,124,NSA,5584,1
CN,124,NSA,5596,1
CN,124,NSA,5658,1
CN,124,NSA,5823,1
CN,124,NSA,5853,1
CN,124,NSA,5854,1
CN,124,NSA,6034,1
CN,124,NSA,6051,1
CN,125,NSA,6064,1
CN,139,NSA,1042,1
CN,139,NSA,6195,1
CN,144,NSA,3698,1
CN,144,NSA,5600,1
CN,144,NSA,5846,1
CN,144,NSA,6187,1
CN,144,NSA,6207,1
CN,161,NSA,5337,1
CN,161,NSA,5530,1
CN,161,NSA,5846,1
CN,161,NSA,6174,1
CN,161,NSA,6378,1
CN,161,NSA,6563,1
CN,164,NSA,6026,1
CN,166,NSA,5559,1
CN,166,NSA,5846,1
CN,166,NSA,6561,1
CN,166,NSA,6667,1
CN,166,NSA,6668,1
CN,166,NSA,6733,1
CN,166,NSA,6735,1
CN,166,NSA,6739,1
CN,166,NSA,6758,1
CN,166,NSA,6780,1
CN,166,NSA,6787,1
CN,166,NSA,6788,1
CN,167,NSA,6169,1
CN,167,NSA,6677,1
CN,167,NSA,6703,1
CN,167,NSA,6735,1
CN,167,NSA,6746,1
CN,167,NSA,6832,1
CN,167,NSA,6841,1
CN,167,NSA,6842,1
CN,167,NSA,6850,1
CN,167,NSA,6852,1
CN,171,NSA,6169,1
CN,171,NSA,6677,1
CN,171,NSA,6735,1
CN,173,NSA,3456,1
CN,173,NSA,6045,1
CN,173,NSA,6774,1
CN,173,NSA,6842,1
CN,173,NSA,6854,1
CN,173,NSA,6857,1
CN,173,NSA,6917,1
CN,173,NSA,7083,1